0002149325768,2012-12-03,0001-01-01,003,TBM,TBM,US,0.0,USD,Y,YG,,2778,HNL,EWR,F,PASSE/913AA,EWRHNL,2013-02-17,0.0,0.0,000365709222,D106A1,2012-12-02
0005582729402,2013-01-14,0001-01-01,002,TBM,TBM,US,0.0,USD,Y,FB,FB,9761,LHR,ORD,F,PASSE,LHRORD,2013-01-17,0.0,0.0,000365709222,8E5732,2013-01-13
0004283544180,2013-07-11,0001-01-01,001,TBM,TBM,US,0.0,USD,Y,FB,FB,7757,LAX,ORD,F,PASSE,LAXORD,2013-08-03,0.0,0.0,000365709222,1C77D1,2013-07-10
0007437048534,2013-04-25,0001-01-01,002,TBM,TBM,US,0.0,USD,Y,FB,FB,7278,SYD,LAX,F,PASSE,LAXSYD,2013-05-10,0.0,0.0,000365709222,929E1D,2013-04-25
0008734103773,2012-10-29,0001-01-01,002,RTX,RTX,US,0.0,USD,Y,FB,,9411,ORD,BKK,F,PASSE,BKKORD,2012-12-25,0.0,0.0,000365709222,C268B9,2012-07-05
0004046937269,2012-07-29,0001-01-01,002,TBM,TBM,US,0.0,USD,Y,FB,,8808,IAD,JFK,Y,PASSE/913AA,IADJFK,2012-08-19,0.0,0.0,000365709222,4245B1,2012-07-29
0009892274576,2014-06-11,2014-06-13,001,WEB,WEJ,US,0.0,USD,Y,FB,FB,5243,SEA,IAH,YN,YSM/ZC21P,IAHSEA,2014-07-26,0.0,0.0,000165855849,F82BEA,2014-06-11
0005147664738,2013-04-20,2013-04-22,001,RTX,RTX,US,0.0,USD,Y,FB,JY,9824,ZIH,IAH,X,YSM/WC32,IAHZIH,2013-05-03,0.0,0.0,000407811114,F73621,2013-02-06
0006814748197,2014-04-13,2014-04-15,003,TBM,TBM,US,13272.0,USD,Y,FB,FB,1585,LHR,EWR,C,CORCE,EWRLHR,2014-04-25,4097.57,393.57,000365709222,FC0699,2014-04-13
0003973487007,2013-05-24,2013-05-27,001,RTX,RTX,US,311.78,USD,Y,FB,PC,8316,EWR,ORD,R,WE143KN/8N02,EWRORD,2013-05-26,160.45,0.0,000950169665,26F304,2013-04-29
0003529390195,2013-06-25,2013-06-27,002,TBM,TBM,US,506.98,USD,Y,FB,FZ,9557,ORD,MBS,Y,FPASSA,MBSORD,2013-07-08,102.24,0.0,000365709222,13AEFA,2013-06-25
0004209881609,2014-06-10,2014-06-11,001,TBM,TBM,US,1503.25,USD,Y,FB,FB,8069,LAS,ORD,F,FUA,LASORD,2014-08-27,892.82,0.0,000365709222,7BE1AA,2014-06-09
0001817245978,2014-01-22,2014-01-30,003,RTX,RTX,US,30399.0,AUD,Y,FB,FB,9800,IAH,MSY,F,F1RC,IAHMSY,2014-01-22,917.65,14.81,000365709222,8CE666,2014-01-03
0006736810940,2013-02-20,0001-01-01,004,TBM,TBM,US,0.0,USD,Y,FB,JY,2193,EWR,IAD,Y,PASSA,EWRIAD,2013-06-28,0.0,0.0,000365709222,95253D,2013-02-20
0005469377423,2013-06-14,0001-01-01,002,TBM,TBM,US,0.0,USD,Y,FB,FB,3108,LAX,SYD,F,PASSE,LAXSYD,2014-01-21,0.0,0.0,000365709222,C2C7B0,2013-06-14
0000995983540,2012-05-31,2012-06-02,002,TBM,TBM,US,1417.38,USD,Y,FB,,7544,LAX,LAS,F,FPASSA,LASLAX,2012-06-26,131.72,0.0,000365709222,A04432,2012-05-30
0005822165062,2013-11-20,2013-11-22,001,TBM,TBM,US,169.16,USD,Y,FB,DF,7832,EWR,BWI,F,FPASSA,BWIEWR,2013-11-23,94.33,0.0,000365709222,9ECC2F,2013-11-20
0008171953065,2014-04-16,2014-04-20,002,MDW,MDW,US,705.65,USD,Y,FB,JY,5898,YYZ,ORD,Q,QA14FN,ORDYYZ,2014-05-01,292.5,0.0,000950169665,99A772,2014-04-16
0009952035033,2013-09-25,2013-09-27,001,TBM,TBM,US,1336.19,USD,Y,FB,FB,3114,EWR,SFO,F,FPASSA,EWRSFO,2013-11-03,1336.19,0.0,000365709222,E978DC,2013-09-25
0005523459842,2013-06-14,0001-01-01,002,TBM,TBM,US,0.0,AUD,Y,FB,FB,7278,SYD,LAX,F,PASSE,LAXSYD,2014-01-23,0.0,0.0,000365709222,7F3222,2013-06-14
0002468944688,2013-10-11,2013-10-13,001,TBM,TBM,US,1207.45,USD,Y,FB,FB,2931,PDX,DEN,F,FPASSA,DENPDX,2013-10-11,461.4,0.0,000365709222,7AF258,2013-10-11
0007929437724,2012-10-11,0001-01-01,001,TBM,TBM,US,0.0,USD,Y,FB,,7934,EWR,ZRH,F,PASSE/913AA,EWRZRH,2012-10-12,0.0,0.0,000365709222,B84A4E,2012-10-11
0002012623291,2013-08-13,2013-08-14,002,WEB,WEJ,US,0.0,USD,Y,FB,FB,5765,JAC,ORD,YN,YSM/ZC20,JACORD,2014-02-17,0.0,0.0,000950169665,19E4D0,2013-08-13
