5976,FB,2012-05-01,RFD,RFD,2012-05-01 00:00:00,2012-05-01 00:00:00,0,0,2012-05-01 00:00:00,0,0,2012-05-01 00:30:00,30,237,179,20
5976,FB,2012-06-16,ZRO,TKT,2012-06-16 00:00:00,2012-06-16 00:00:00,0,0,2012-06-16 00:00:00,0,0,2012-06-16 00:24:00,24,298,240,14
5976,FB,2012-07-01,RFD,RFD,2012-07-01 00:00:00,2012-07-01 00:00:00,0,0,2012-07-01 00:00:00,0,0,2012-07-01 00:25:00,25,252,225,25
5976,FB,2012-09-18,ZRO,TKT,2012-09-18 00:00:00,2012-09-18 00:00:00,0,0,2012-09-18 01:31:00,1,91,2012-09-18 01:59:00,119,206,169,8
5976,FB,2012-12-12,XXX,YYY,2012-12-12 00:00:00,2012-12-12 00:00:00,0,0,2012-12-12 00:00:00,0,0,2012-12-12 00:23:00,23,104,101,5
5976,FB,2013-01-17,ZRO,TKT,2013-01-17 00:00:00,2013-01-17 00:00:00,0,0,2013-01-17 00:00:00,0,0,2013-01-17 00:11:00,11,297,229,11
6941,FB,2012-05-26,EWR,LAS,2012-05-26 21:15:00,2012-05-27 03:03:00,0,348,2012-05-26 21:15:00,0,0,2012-05-27 03:00:00,-3,110,84,4
9959,YG,2012-04-02,ORD,IAH,2012-04-02 11:50:00,2012-04-02 14:31:00,0,161,2012-04-02 11:50:00,0,0,2012-04-02 14:04:00,-27,246,207,14
9959,FB,2012-04-02,ORD,IAH,2012-04-02 11:50:00,2012-04-02 14:31:00,0,161,2012-04-02 11:58:00,1,8,2012-04-02 14:46:00,15,201,162,13
5868,FB,2012-10-31,EWR,ORD,2012-10-31 13:41:00,2012-10-31 16:10:00,0,149,2012-10-31 13:41:00,0,0,2012-10-31 16:29:00,19,112,100,5
5868,FB,2012-12-25,EWR,ORD,2012-12-25 14:00:00,2012-12-25 17:02:00,0,182,2012-12-25 14:00:00,0,0,2012-12-25 17:24:00,22,245,198,12
9217,FB,2012-10-05,LAX,EWR,2012-10-05 19:38:00,2012-10-06 01:00:00,0,322,2012-10-05 19:38:00,0,0,2012-10-06 01:20:00,20,183,182,16
9217,FB,2012-10-21,LAX,EWR,2012-10-21 19:38:00,2012-10-22 01:00:00,0,322,2012-10-21 19:38:00,0,0,2012-10-22 00:59:00,-1,148,132,12
7776,FB,2013-02-14,LAX,JFK,2013-02-14 19:40:00,2013-02-15 01:01:00,0,321,2013-02-14 19:40:00,0,0,2013-02-15 00:35:00,-26,154,122,11
6389,FB,2012-06-19,IAH,ORD,2012-06-19 12:18:00,2012-06-19 14:59:00,0,161,2012-06-19 12:18:00,0,0,2012-06-19 15:27:00,28,220,171,19
6634,FB,2014-02-14,SFO,LAX,2014-02-14 15:00:00,2014-02-14 16:29:00,0,89,2014-02-14 15:30:00,1,30,2014-02-14 17:01:00,32,116,106,10
6634,FB,2014-04-12,IAH,CUN,2014-04-12 12:39:00,2014-04-12 14:55:00,0,136,2014-04-12 12:39:00,0,0,2014-04-12 14:36:00,-19,140,123,6
8722,FB,2013-02-18,ORD,IAH,2013-02-18 12:26:00,2013-02-18 15:10:00,0,164,2013-02-18 12:35:00,1,9,2013-02-18 15:48:00,38,286,270,25
8722,FB,2013-05-08,ORD,DEN,2013-05-08 17:00:00,2013-05-08 19:38:00,0,158,2013-05-08 17:00:00,0,0,2013-05-08 19:22:00,-16,169,145,11
9882,FB,2013-02-25,ORD,IAH,2013-02-25 13:40:00,2013-02-25 16:28:00,0,168,2013-02-25 13:40:00,0,0,2013-02-25 16:27:00,-1,165,158,9
6634,FB,2012-05-10,IAH,ORD,2012-05-10 22:35:00,2012-05-11 01:17:00,0,162,2012-05-10 22:35:00,0,0,2012-05-11 01:18:00,1,209,157,16
6634,FB,2012-05-17,IAH,ORD,2012-05-17 22:35:00,2012-05-18 01:17:00,0,162,2012-05-17 22:36:00,1,1,2012-05-18 01:27:00,10,299,262,26
2567,FB,2014-01-20,LAS,EWR,2014-01-20 16:00:00,2014-01-20 20:59:00,0,299,2014-01-20 16:00:00,0,0,2014-01-20 20:34:00,-25,218,182,19
